Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
kill,respect,concrete-negative,abstract-positive,MaxMismatch
murder,imagine,concrete-negative,abstract-positive,MaxMismatch
murder,enlighten,concrete-negative,abstract-positive,MaxMismatch
murder,admired,concrete-negative,abstract-positive,MaxMismatch
murder,cherish,concrete-negative,abstract-positive,MaxMismatch
murder,hope,concrete-negative,abstract-positive,MaxMismatch
murder,believe,concrete-negative,abstract-positive,MaxMismatch
murder,fulfill,concrete-negative,abstract-positive,MaxMismatch
murder,esteem,concrete-negative,abstract-positive,MaxMismatch
murder,justify,concrete-negative,abstract-positive,MaxMismatch
murder,respect,concrete-negative,abstract-positive,MaxMismatch
puke,imagine,concrete-negative,abstract-positive,MaxMismatch
puke,enlighten,concrete-negative,abstract-positive,MaxMismatch
puke,admired,concrete-negative,abstract-positive,MaxMismatch
puke,cherish,concrete-negative,abstract-positive,MaxMismatch
puke,hope,concrete-negative,abstract-positive,MaxMismatch
puke,believe,concrete-negative,abstract-positive,MaxMismatch
puke,fulfill,concrete-negative,abstract-positive,MaxMismatch
puke,esteem,concrete-negative,abstract-positive,MaxMismatch
puke,justify,concrete-negative,abstract-positive,MaxMismatch
puke,respect,concrete-negative,abstract-positive,MaxMismatch
scratch,imagine,concrete-negative,abstract-positive,MaxMismatch
scratch,enlighten,concrete-negative,abstract-positive,MaxMismatch
scratch,admired,concrete-negative,abstract-positive,MaxMismatch
scratch,cherish,concrete-negative,abstract-positive,MaxMismatch
scratch,hope,concrete-negative,abstract-positive,MaxMismatch
scratch,believe,concrete-negative,abstract-positive,MaxMismatch
scratch,fulfill,concrete-negative,abstract-positive,MaxMismatch
scratch,esteem,concrete-negative,abstract-positive,MaxMismatch
scratch,justify,concrete-negative,abstract-positive,MaxMismatch
scratch,respect,concrete-negative,abstract-positive,MaxMismatch
slap,imagine,concrete-negative,abstract-positive,MaxMismatch
slap,enlighten,concrete-negative,abstract-positive,MaxMismatch
slap,admired,concrete-negative,abstract-positive,MaxMismatch
slap,cherish,concrete-negative,abstract-positive,MaxMismatch
slap,hope,concrete-negative,abstract-positive,MaxMismatch
slap,believe,concrete-negative,abstract-positive,MaxMismatch
