Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,FeatureMatchSpecific
kiss,admired,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
kiss,cherish,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
kiss,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
kiss,believe,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
kiss,fulfill,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
kiss,esteem,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
kiss,justify,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
kiss,respect,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
running,build,concrete-positive,concrete-positive,MaxMatch,cp-cp
running,cook,concrete-positive,concrete-positive,MaxMatch,cp-cp
running,cuddle,concrete-positive,concrete-positive,MaxMatch,cp-cp
running,eat,concrete-positive,concrete-positive,MaxMatch,cp-cp
running,hug,concrete-positive,concrete-positive,MaxMatch,cp-cp
running,kiss,concrete-positive,concrete-positive,MaxMatch,cp-cp
running,running,concrete-positive,concrete-positive,SelfPair,cp-cp
running,sail,concrete-positive,concrete-positive,MaxMatch,cp-cp
running,smile,concrete-positive,concrete-positive,MaxMatch,cp-cp
running,swing,concrete-positive,concrete-positive,MaxMatch,cp-cp
running,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
running,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
running,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
running,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
running,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
running,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
running,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
running,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
running,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
running,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
running,annoy,concrete-positive,abstract-negative,MaxMismatch,cp-an
running,befall,concrete-positive,abstract-negative,MaxMismatch,cp-an
running,criticize,concrete-positive,abstract-negative,MaxMismatch,cp-an
running,exploit,concrete-positive,abstract-negative,MaxMismatch,cp-an
running,loathe,concrete-positive,abstract-negative,MaxMismatch,cp-an
running,obsess,concrete-positive,abstract-negative,MaxMismatch,cp-an
running,resent,concrete-positive,abstract-negative,MaxMismatch,cp-an
running,scorn,concrete-positive,abstract-negative,MaxMismatch,cp-an
running,violate,concrete-positive,abstract-negative,MaxMismatch,cp-an
running,worry,concrete-positive,abstract-negative,MaxMismatch,cp-an
running,imagine,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
running,enlighten,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
running,admired,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
running,cherish,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
running,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
running,believe,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
running,fulfill,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
running,esteem,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
running,justify,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
running,respect,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
sail,build,concrete-positive,concrete-positive,MaxMatch,cp-cp
sail,cook,concrete-positive,concrete-positive,MaxMatch,cp-cp
sail,cuddle,concrete-positive,concrete-positive,MaxMatch,cp-cp
sail,eat,concrete-positive,concrete-positive,MaxMatch,cp-cp
sail,hug,concrete-positive,concrete-positive,MaxMatch,cp-cp
sail,kiss,concrete-positive,concrete-positive,MaxMatch,cp-cp
sail,running,concrete-positive,concrete-positive,MaxMatch,cp-cp
sail,sail,concrete-positive,concrete-positive,SelfPair,cp-cp
sail,smile,concrete-positive,concrete-positive,MaxMatch,cp-cp
sail,swing,concrete-positive,concrete-positive,MaxMatch,cp-cp
sail,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
sail,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
sail,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
sail,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
sail,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
sail,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
sail,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
sail,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
sail,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
sail,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
sail,annoy,concrete-positive,abstract-negative,MaxMismatch,cp-an
sail,befall,concrete-positive,abstract-negative,MaxMismatch,cp-an
sail,criticize,concrete-positive,abstract-negative,MaxMismatch,cp-an
